txn_id,customer_id,txn_ts,store_id,channel,gross_revenue,items_count
T0000000231,13669,2025-01-01 11:06:00,108,Store,16.66,3
T0000000232,13669,2025-01-01 12:20:00,54,Store,20.62,1
T0000000233,13808,2025-01-01 20:52:00,58,Store,22.46,3
T0000000234,13869,2025-01-01 19:17:00,101,Store,16.83,2
T0000000235,13894,2025-01-01 20:30:00,83,Store,9.18,3
T0000000236,13913,2025-01-01 11:14:00,64,Store,38.46,5
T0000000237,13922,2025-01-01 16:58:00,98,Store,17.71,2
T0000000238,14067,2025-01-01 10:41:00,105,Online,5.4,1
T0000000239,14131,2025-01-01 16:54:00,109,Store,16.33,2
T0000000240,14253,2025-01-01 13:13:00,4,Store,14.24,2
T0000000241,14271,2025-01-01 13:33:00,74,Online,8.92,1
T0000000242,14301,2025-01-01 12:37:00,30,Online,23.04,4
T0000000243,14386,2025-01-01 08:25:00,113,Store,14.11,2
T0000000244,14427,2025-01-01 17:31:00,32,Store,37.28,5
T0000000245,14455,2025-01-01 09:19:00,93,Store,11.22,1
T0000000246,14564,2025-01-01 10:15:00,111,Store,13.67,1
T0000000247,14589,2025-01-01 16:05:00,92,Store,15.94,3
T0000000248,14713,2025-01-01 18:28:00,30,Store,27.61,2
T0000000249,14821,2025-01-01 16:33:00,88,Online,37.55,3
T0000000250,14870,2025-01-01 08:04:00,5,Store,19.78,1
T0000000251,14955,2025-01-01 20:15:00,114,Store,15.71,3
T0000000252,15011,2025-01-01 09:45:00,76,Store,20.04,2
T0000000253,15083,2025-01-01 14:54:00,110,Store,5.54,1
T0000000254,15089,2025-01-01 15:38:00,65,Online,42.33,5
T0000000255,15206,2025-01-01 10:05:00,16,Store,16.95,2
T0000000256,15232,2025-01-01 10:10:00,70,Online,29.83,3
T0000000257,15250,2025-01-01 13:16:00,115,Online,49.43,6
T0000000258,15258,2025-01-01 12:54:00,112,Online,8.29,1
T0000000259,15411,2025-01-01 20:30:00,42,Store,17.96,1
T0000000260,15411,2025-01-01 20:42:00,92,Store,55.25,8
T0000000261,15497,2025-01-01 12:02:00,90,Store,23.48,4
T0000000262,15589,2025-01-01 15:00:00,74,Store,14.09,1
T0000000263,15668,2025-01-01 14:38:00,80,Store,20.55,4
T0000000264,15762,2025-01-01 17:01:00,61,Store,23.47,1
T0000000265,15785,2025-01-01 14:12:00,68,Store,18.24,1
T0000000266,15810,2025-01-01 20:09:00,110,Store,12.77,1
T0000000267,15897,2025-01-01 20:13:00,26,Store,25.09,2
T0000000268,16062,2025-01-01 19:37:00,27,Store,18.58,3
T0000000269,16062,2025-01-01 11:04:00,117,Store,25.48,4
T0000000270,16076,2025-01-01 10:40:00,31,Store,31.85,6
T0000000271,16090,2025-01-01 10:28:00,100,Online,30.03,5
T0000000272,16165,2025-01-01 14:11:00,84,Store,10.37,1
T0000000273,16165,2025-01-01 16:16:00,80,Store,9.68,1
T0000000274,16199,2025-01-01 08:26:00,76,Store,19.29,2
T0000000275,16199,2025-01-01 09:41:00,118,Store,5.73,2
T0000000276,16293,2025-01-01 14:52:00,36,Online,23.98,2
T0000000277,16294,2025-01-01 20:08:00,55,Online,12.01,2
T0000000278,16320,2025-01-01 17:41:00,119,Store,20.55,2
T0000000279,16346,2025-01-01 16:53:00,112,Store,8.64,2
T0000000280,16354,2025-01-01 19:17:00,53,Store,27.57,2
T0000000281,16408,2025-01-01 16:03:00,101,Store,14.85,3
T0000000282,16480,2025-01-01 20:51:00,81,Store,13.36,1
T0000000283,16527,2025-01-01 09:10:00,29,Store,11.52,2
T0000000284,16598,2025-01-01 12:06:00,37,Store,19.2,4
T0000000285,16598,2025-01-01 16:48:00,114,Online,12.5,2
T0000000286,16603,2025-01-01 19:58:00,89,Store,32.22,3
T0000000287,16703,2025-01-01 14:45:00,89,Store,32.73,1
T0000000288,16830,2025-01-01 08:37:00,7,Store,40.96,5
T0000000289,16955,2025-01-01 13:34:00,52,Store,20.22,3
T0000000290,17087,2025-01-01 18:03:00,34,Store,30.87,4
T0000000291,17246,2025-01-01 13:05:00,64,Store,33.11,5
T0000000292,17278,2025-01-01 08:47:00,27,Store,23.0,3
T0000000293,17362,2025-01-01 19:42:00,35,Store,13.62,2
T0000000294,17366,2025-01-01 08:30:00,117,Store,54.29,5
T0000000295,17366,2025-01-01 12:07:00,26,Store,13.55,1
T0000000296,17396,2025-01-01 09:38:00,9,Store,18.27,1
T0000000297,17635,2025-01-01 19:57:00,117,Online,20.82,3
T0000000298,17679,2025-01-01 11:06:00,54,Store,13.61,1
T0000000299,17691,2025-01-01 15:52:00,52,Online,20.11,4
T0000000300,17724,2025-01-01 16:22:00,32,Online,24.29,5
T0000000301,17759,2025-01-01 13:21:00,45,Online,6.81,1
T0000000302,17801,2025-01-01 20:06:00,81,Store,34.62,5
T0000000303,17860,2025-01-01 11:38:00,46,Store,45.76,7
T0000000304,17861,2025-01-01 19:43:00,1,Online,10.05,2
T0000000305,17865,2025-01-01 11:51:00,12,Online,30.04,3
T0000000306,17885,2025-01-01 10:47:00,43,Store,21.46,5
T0000000307,17935,2025-01-01 10:10:00,68,Store,14.87,2
T0000000308,17939,2025-01-01 10:40:00,54,Store,7.44,1
T0000000309,18050,2025-01-01 18:26:00,57,Store,7.22,2
T0000000310,18248,2025-01-01 17:15:00,79,Store,14.6,2
T0000000311,18424,2025-01-01 13:25:00,12,Store,27.99,2
T0000000312,18595,2025-01-01 13:15:00,37,Store,12.91,2
T0000000313,18601,2025-01-01 13:10:00,110,Store,29.43,5
T0000000314,18625,2025-01-01 20:15:00,12,Online,27.87,4
T0000000315,18749,2025-01-01 11:13:00,10,Store,8.51,2
T0000000316,18824,2025-01-01 20:36:00,17,Online,36.97,3
T0000000317,18940,2025-01-01 17:59:00,109,Store,14.75,2
T0000000318,18970,2025-01-01 19:42:00,98,Store,13.07,1
T0000000319,18974,2025-01-01 17:20:00,116,Store,17.69,2
T0000000320,19002,2025-01-01 13:01:00,74,Store,23.52,2
T0000000321,19030,2025-01-01 12:42:00,10,Store,36.27,3
T0000000322,19106,2025-01-01 14:29:00,94,Store,24.38,3
T0000000323,19224,2025-01-01 14:50:00,65,Store,23.21,2
T0000000324,19281,2025-01-01 15:38:00,51,Store,40.51,6
T0000000325,19317,2025-01-01 14:21:00,53,Store,21.09,2
T0000000326,19317,2025-01-01 14:24:00,42,Online,10.3,1
T0000000327,19327,2025-01-01 14:22:00,1,Store,8.32,1
T0000000328,19377,2025-01-01 18:10:00,89,Store,26.33,6
T0000000329,19512,2025-01-01 18:43:00,46,Store,14.29,2
T0000000330,19624,2025-01-01 09:21:00,101,Online,34.98,6
T0000000331,19624,2025-01-01 16:24:00,47,Store,42.57,3
T0000000332,19668,2025-01-01 18:22:00,44,Store,22.78,2
T0000000333,19787,2025-01-01 15:45:00,117,Store,19.45,3
T0000000334,19863,2025-01-01 11:05:00,48,Store,19.0,2
T0000000335,19978,2025-01-01 14:59:00,84,Online,34.75,4
T0000000336,19989,2025-01-01 18:42:00,68,Store,38.26,4
T0000000337,20142,2025-01-01 13:11:00,25,Store,45.08,8
T0000000338,20317,2025-01-01 18:54:00,75,Store,15.98,3
T0000000339,20445,2025-01-01 16:51:00,21,Store,13.03,1
T0000000340,20493,2025-01-01 15:06:00,23,Store,12.65,1
T0000000341,20497,2025-01-01 11:44:00,74,Store,13.54,1
T0000000342,20535,2025-01-01 13:23:00,57,Online,44.52,8
T0000000343,20577,2025-01-01 17:49:00,42,Store,18.97,2
T0000000344,20741,2025-01-01 09:34:00,92,Store,5.77,1
T0000000345,20846,2025-01-01 19:47:00,94,Store,9.76,1
T0000000346,20885,2025-01-01 11:23:00,95,Store,15.85,1
T0000000347,21076,2025-01-01 13:01:00,14,Store,40.82,5
T0000000348,21093,2025-01-01 10:51:00,13,Store,18.3,3
T0000000349,21139,2025-01-01 15:10:00,113,Store,22.69,4
T0000000350,21293,2025-01-01 19:49:00,102,Store,29.68,5
T0000000351,21303,2025-01-01 15:05:00,90,Store,7.06,1
T0000000352,21306,2025-01-01 16:39:00,95,Store,14.68,3
T0000000353,21347,2025-01-01 15:09:00,42,Store,18.4,2
T0000000354,21360,2025-01-01 12:37:00,18,Online,28.15,3
T0000000355,21568,2025-01-01 08:32:00,73,Online,15.33,1
T0000000356,21700,2025-01-01 16:27:00,117,Store,9.87,1
T0000000357,21830,2025-01-01 09:43:00,97,Store,23.85,4
T0000000358,22178,2025-01-01 09:59:00,62,Online,10.25,1
T0000000359,22202,2025-01-01 12:00:00,45,Store,56.8,6
T0000000360,22310,2025-01-01 18:03:00,114,Store,24.94,3
T0000000361,22349,2025-01-01 11:34:00,31,Store,15.88,3
T0000000362,22456,2025-01-01 11:30:00,81,Store,17.99,3
T0000000363,22568,2025-01-01 18:20:00,27,Store,18.74,3
T0000000364,22802,2025-01-01 14:35:00,95,Store,20.89,3
T0000000365,23323,2025-01-01 19:32:00,63,Store,32.24,6
T0000000366,23510,2025-01-01 20:07:00,18,Online,21.7,3
T0000000367,23518,2025-01-01 14:01:00,58,Store,21.21,2
T0000000368,23585,2025-01-01 10:39:00,98,Store,11.2,4
T0000000369,23625,2025-01-01 14:19:00,52,Store,7.04,2
T0000000370,23673,2025-01-01 20:53:00,8,Store,32.94,3
T0000000371,23673,2025-01-01 10:09:00,72,Store,60.32,6
T0000000372,23687,2025-01-01 13:40:00,82,Online,13.75,1
T0000000373,23930,2025-01-01 14:10:00,51,Store,17.53,3
T0000000374,24085,2025-01-01 20:19:00,111,Store,5.04,1
T0000000375,24141,2025-01-01 18:41:00,10,Store,30.45,3
T0000000376,24246,2025-01-01 20:40:00,118,Store,16.98,1
T0000000377,24246,2025-01-01 16:35:00,116,Store,18.69,3
T0000000378,24381,2025-01-01 19:24:00,27,Store,16.14,2
T0000000379,24568,2025-01-01 15:17:00,96,Online,11.44,3
T0000000380,24574,2025-01-01 18:05:00,10,Store,27.52,5
T0000000381,24660,2025-01-01 18:08:00,19,Store,29.71,2
T0000000382,24796,2025-01-01 08:24:00,34,Online,18.35,2
T0000000383,24840,2025-01-01 12:35:00,95,Store,9.34,1
T0000000384,24881,2025-01-01 20:43:00,5,Store,29.9,3
T0000000385,24895,2025-01-01 19:14:00,49,Store,40.79,7
T0000000386,24895,2025-01-01 17:20:00,54,Store,12.63,2
T0000000387,24965,2025-01-01 18:00:00,45,Store,23.8,3
T0000000388,116,2025-01-02 17:52:00,81,Online,30.89,3
T0000000389,234,2025-01-02 13:57:00,96,Store,13.46,1
T0000000390,246,2025-01-02 18:54:00,81,Store,9.0,1
T0000000391,255,2025-01-02 20:20:00,89,Store,42.01,5
T0000000392,371,2025-01-02 17:45:00,54,Store,17.28,4
T0000000393,371,2025-01-02 20:53:00,4,Store,28.06,4
T0000000394,403,2025-01-02 17:21:00,57,Store,11.75,1
T0000000395,414,2025-01-02 17:32:00,31,Store,20.94,3
T0000000396,504,2025-01-02 18:07:00,113,Online,43.07,5
T0000000397,504,2025-01-02 09:47:00,70,Store,18.05,3
T0000000398,562,2025-01-02 12:29:00,49,Store,34.84,3
T0000000399,602,2025-01-02 15:05:00,18,Online,18.69,1
T0000000400,747,2025-01-02 20:03:00,14,Store,36.71,4
T0000000401,786,2025-01-02 18:36:00,104,Store,16.65,3
T0000000402,887,2025-01-02 19:23:00,50,Store,27.12,4
T0000000403,896,2025-01-02 10:14:00,14,Store,9.27,2
T0000000404,954,2025-01-02 17:18:00,30,Store,41.15,4
T0000000405,1040,2025-01-02 11:18:00,29,Store,61.34,8
T0000000406,1064,2025-01-02 09:26:00,14,Store,26.92,3
T0000000407,1295,2025-01-02 20:39:00,62,Store,13.6,2
T0000000408,1295,2025-01-02 11:19:00,23,Store,33.94,4
T0000000409,1319,2025-01-02 11:51:00,72,Store,13.15,1
T0000000410,1493,2025-01-02 12:38:00,41,Store,33.29,4
T0000000411,1495,2025-01-02 11:21:00,100,Store,26.65,3
T0000000412,1670,2025-01-02 15:53:00,67,Store,11.71,2
T0000000413,1751,2025-01-02 10:59:00,11,Store,18.94,2
T0000000414,1768,2025-01-02 17:09:00,32,Store,61.34,7
T0000000415,1803,2025-01-02 18:12:00,54,Online,8.28,1
T0000000416,1803,2025-01-02 13:17:00,77,Store,13.35,2
T0000000417,1841,2025-01-02 19:44:00,66,Store,53.36,7
T0000000418,2088,2025-01-02 09:41:00,67,Online,10.02,1
T0000000419,2241,2025-01-02 09:27:00,53,Store,4.18,1
T0000000420,2284,2025-01-02 11:21:00,66,Store,23.01,3
T0000000421,2347,2025-01-02 17:38:00,79,Store,19.88,1
T0000000422,2371,2025-01-02 14:38:00,88,Store,14.93,1
T0000000423,2373,2025-01-02 19:01:00,97,Store,12.84,4
