customer_id,signup_date,tenure_days,loyalty_tier,region,channel_pref,consent_email,consent_sms,baseline_buy_prob_daily,lifecycle
124,2024-01-17,439,Silver,South,Email,1,0,0.01773473965555517,Lapsed
125,2023-02-17,773,Gold,North,SMS,1,1,0.022932456964953697,Lapsed
126,2023-10-27,521,Silver,South,Push,1,1,0.014364883744704082,Lapsed
127,2024-12-23,98,Silver,East,Email,0,1,0.014364702147336301,Lapsed
128,2023-05-06,695,Bronze,West,Email,1,0,0.012041188577815928,Warm
129,2023-10-19,529,Bronze,West,SMS,1,1,0.00978771592498025,Warm
130,2023-08-27,582,Silver,North,Email,0,0,0.01671654164447068,Lapsed
131,2023-10-27,521,Bronze,West,Email,1,1,0.015047502483103919,Warm
132,2023-11-06,511,Silver,East,Email,1,1,0.01634913041148847,Lapsed
133,2024-12-13,108,Gold,East,Email,1,0,0.010562305046533304,Lapsed
134,2023-11-01,516,Bronze,West,Email,1,0,0.012186867558335162,Warm
135,2023-04-10,721,Bronze,South,Email,1,0,0.011725887957258228,Lapsed
136,2024-06-10,294,Silver,South,Push,1,1,0.01267704957545435,Lapsed
137,2023-09-24,554,Bronze,West,Email,1,0,0.006402993095234267,Lapsed
138,2025-02-03,56,Gold,North,SMS,1,0,0.012717971017337047,New
139,2024-05-03,332,Silver,East,SMS,1,1,0.014503661085034278,Lapsed
140,2024-02-16,409,Silver,West,Push,1,0,0.017779452421932768,Lapsed
141,2022-10-29,884,Silver,West,Email,1,0,0.013872041413811096,Lapsed
142,2024-08-27,216,Silver,North,SMS,1,0,0.011146155781495574,Lapsed
143,2024-07-04,270,Bronze,East,Email,1,1,0.00766210705836762,Lapsed
144,2024-03-11,385,Bronze,North,Email,1,0,0.0120752524742767,Lapsed
145,2022-10-20,893,Bronze,West,Email,1,0,0.012754116089039017,Lapsed
146,2023-02-18,772,Gold,South,SMS,0,1,0.02043589872604845,Lapsed
147,2025-01-30,60,Bronze,East,Email,1,1,0.006774544173000828,New
148,2024-08-10,233,Bronze,West,Email,1,1,0.008030333253481809,Lapsed
149,2023-03-18,744,Bronze,East,Email,1,1,0.012511759591922883,Lapsed
150,2025-01-10,80,Bronze,East,Email,1,1,0.010646686977864389,New
151,2023-02-16,774,Bronze,South,Email,1,0,0.011284911215680182,Lapsed
152,2024-06-30,274,Silver,East,SMS,1,0,0.01367426303721359,Lapsed
153,2022-12-24,828,Bronze,East,SMS,1,0,0.009666579301059991,Warm
154,2024-06-19,285,Silver,West,Push,1,1,0.010977758690755917,Lapsed
155,2024-02-18,407,Bronze,North,Push,0,1,0.012278699954046717,Lapsed
156,2023-08-04,605,Silver,South,Email,1,1,0.01382217283181192,Lapsed
157,2024-11-12,139,Bronze,South,Email,1,0,0.00791600681120423,Lapsed
158,2023-11-03,514,Silver,North,Email,1,0,0.017832668608944082,Lapsed
159,2023-12-18,469,Gold,East,Push,1,1,0.020798903327613787,Warm
160,2023-04-20,711,Bronze,East,Email,1,1,0.010217220540974513,Lapsed
161,2022-10-17,896,Gold,North,Email,1,1,0.02274604402322734,Lapsed
162,2023-08-02,607,Bronze,East,Email,1,1,0.01331810094899121,Lapsed
163,2024-03-11,385,Silver,South,Email,1,1,0.016259757178026968,Lapsed
164,2024-03-13,383,Silver,East,Email,1,0,0.013538232098367874,Active
165,2024-03-03,393,Bronze,North,SMS,1,1,0.010655614187956953,Lapsed
166,2023-03-24,738,Bronze,North,Email,0,1,0.010066642168853602,Lapsed
167,2024-05-26,309,Bronze,North,Push,1,1,0.011858787398682343,Lapsed
168,2024-10-07,175,Silver,South,Push,1,1,0.012927799382634867,Warm
169,2024-05-15,320,Bronze,East,SMS,1,1,0.010093822227884752,Lapsed
170,2025-02-10,49,Gold,East,Email,1,1,0.01670578320514545,New
171,2024-11-29,122,Bronze,North,Email,1,0,0.00936217277371673,Warm
172,2024-12-13,108,Gold,East,Email,1,1,0.01287744701734957,Warm
173,2023-04-30,701,Bronze,South,SMS,0,1,0.01111409846039062,Warm
174,2023-06-12,658,Silver,West,Email,1,0,0.015359382323682716,Active
175,2023-07-04,636,Bronze,North,Email,0,0,0.012988190608359962,Lapsed
176,2024-01-25,431,Bronze,East,Email,0,1,0.015960087939648752,Lapsed
177,2023-06-17,653,Bronze,East,Email,1,0,0.01439690710256004,Warm
178,2024-10-12,170,Silver,East,Email,1,0,0.013979342915671863,Lapsed
179,2023-01-08,813,Bronze,South,Email,1,1,0.008104803014062105,Lapsed
180,2023-12-22,465,Silver,North,Email,1,0,0.018579130432067773,Lapsed
181,2022-12-06,846,Platinum,North,Push,1,1,0.026212468978984837,Lapsed
182,2024-10-20,162,Bronze,West,Email,1,0,0.011560876861457825,Warm
183,2023-12-25,462,Bronze,East,Email,1,0,0.007664329237862885,Warm
184,2023-07-05,635,Bronze,East,SMS,1,0,0.009950356560012898,Warm
185,2023-12-26,461,Bronze,East,Email,1,1,0.012428254173413212,Warm
186,2024-02-07,418,Silver,North,Email,1,1,0.01202476086440438,Warm
187,2024-10-08,174,Silver,South,SMS,1,1,0.01418280314381163,Warm
188,2024-04-04,361,Bronze,East,Email,1,1,0.011448952401281472,Lapsed
189,2024-08-06,237,Bronze,North,SMS,1,0,0.009947447562258233,Lapsed
190,2024-06-12,292,Silver,West,Email,1,0,0.01157795956431795,Warm
191,2023-07-16,624,Bronze,North,Email,1,1,0.010618357435669428,Warm
192,2023-08-31,578,Silver,East,Email,1,1,0.01320361324015405,Lapsed
193,2023-09-20,558,Gold,South,SMS,1,1,0.0188030418780712,Lapsed
194,2024-04-21,344,Bronze,West,SMS,1,0,0.012046910999929113,Warm
195,2022-11-18,864,Silver,West,Push,0,1,0.015026226920237598,Lapsed
196,2024-12-15,106,Gold,South,Email,1,0,0.015460352504633618,Lapsed
197,2024-05-07,328,Silver,South,Push,1,1,0.010064382236596711,Warm
198,2024-11-19,132,Silver,West,Email,1,0,0.007820850694628402,Warm
199,2024-05-11,324,Silver,East,Email,1,1,0.015744503413312072,Warm
200,2022-11-16,866,Silver,North,Email,1,1,0.014843175978883474,Lapsed
201,2024-04-17,348,Silver,West,Email,0,1,0.01362259493750753,Warm
202,2023-01-01,820,Silver,South,Email,1,0,0.01290239691786903,Lapsed
203,2023-12-27,460,Silver,South,SMS,1,0,0.014726571482667357,Warm
204,2023-07-02,638,Silver,West,Email,1,0,0.019108671086954833,Warm
205,2024-01-29,427,Bronze,West,Push,1,0,0.00940007226312244,Lapsed
206,2024-07-13,261,Gold,North,Push,0,1,0.014356315133648512,Warm
207,2023-05-07,694,Bronze,South,Push,1,1,0.008440486539219496,Lapsed
208,2022-11-09,873,Bronze,South,Email,1,0,0.010871529868188288,Lapsed
209,2024-07-15,259,Bronze,West,Email,1,1,0.007142163339317696,Lapsed
210,2023-04-24,707,Bronze,West,Push,1,1,0.00982758521793145,Warm
211,2024-07-17,257,Silver,West,Email,1,1,0.008684383345116654,Lapsed
212,2023-06-17,653,Bronze,North,Email,1,1,0.012479843481834748,Warm
213,2023-04-15,716,Silver,North,SMS,0,0,0.01766484990112436,Lapsed
214,2024-02-05,420,Silver,East,SMS,1,1,0.012711855746165611,Warm
215,2023-05-30,671,Bronze,North,Email,1,1,0.01052289833311586,Lapsed
216,2024-07-08,266,Bronze,North,Email,1,0,0.010233064483452499,Lapsed
217,2024-12-23,98,Silver,North,Email,1,0,0.012425257582275818,Warm
218,2024-12-08,113,Silver,East,Email,1,1,0.011118621663785827,Lapsed
219,2024-02-07,418,Bronze,East,Email,1,0,0.01085207616867603,Active
220,2023-01-06,815,Bronze,West,Push,1,1,0.010825393230713638,Warm
221,2024-11-11,140,Bronze,North,SMS,1,1,0.010017638676904882,Lapsed
222,2024-01-30,426,Bronze,West,Email,0,0,0.011855733960746639,Lapsed
223,2023-06-28,642,Bronze,South,Email,1,1,0.009044909386265882,Lapsed
224,2024-09-06,206,Platinum,South,Push,1,0,0.0167121537902758,Warm
225,2023-06-13,657,Bronze,East,SMS,1,1,0.012484631561792421,Lapsed
226,2024-06-08,296,Bronze,West,Email,1,0,0.010926579143838473,Lapsed
227,2023-03-29,733,Gold,North,Push,1,1,0.019222945077285374,Lapsed
228,2023-10-15,533,Silver,West,Push,1,0,0.015594477717774818,Lapsed
229,2023-11-12,505,Bronze,East,Email,0,0,0.010518098973471836,Lapsed
230,2024-09-29,183,Silver,East,SMS,1,1,0.008010969791061997,Active
231,2024-01-24,432,Gold,West,SMS,1,0,0.022717974352900218,Warm
232,2023-02-15,775,Bronze,East,Push,1,0,0.010606831550939782,Warm
233,2025-02-13,46,Bronze,East,Email,1,1,0.005917589312322009,New
234,2023-05-12,689,Gold,South,SMS,1,0,0.019142719178375733,Active
235,2023-12-29,458,Gold,East,Email,1,0,0.01870270557909825,Lapsed
236,2023-06-15,655,Platinum,West,Email,1,1,0.026642596356581942,Lapsed
237,2023-08-02,607,Bronze,West,Email,0,1,0.013856686627991822,Lapsed
238,2024-02-20,405,Gold,East,Email,1,0,0.018762322641029828,Lapsed
239,2024-06-06,298,Bronze,West,SMS,1,0,0.011649529297324318,Lapsed
240,2023-09-03,575,Silver,East,Email,1,1,0.01542614574805701,Lapsed
241,2024-10-31,151,Gold,West,Push,1,1,0.011949030709553929,Lapsed
242,2023-10-10,538,Bronze,North,SMS,1,1,0.011931931603476595,Warm
243,2024-12-09,112,Bronze,South,Email,1,1,0.006551286534058252,Lapsed
244,2023-08-14,595,Silver,East,SMS,1,1,0.013924799898134384,Lapsed
245,2023-09-01,577,Gold,East,SMS,1,1,0.021402176704533895,Warm
246,2024-12-18,103,Bronze,East,Email,1,1,0.012158154658329534,Warm
247,2023-05-12,689,Gold,West,SMS,1,1,0.0191026579970526,Warm
248,2024-03-05,391,Bronze,West,Push,1,1,0.011108149135574391,Lapsed
249,2023-04-17,714,Bronze,West,Email,1,0,0.011732191331561025,Warm
250,2025-01-24,66,Bronze,West,Email,1,0,0.011736329565103648,New
251,2024-09-26,186,Gold,West,Email,1,1,0.014973469840255178,Lapsed
252,2023-12-28,459,Bronze,East,Email,1,1,0.014413053327159284,Lapsed
253,2024-09-19,193,Silver,North,SMS,1,0,0.008809377437312717,Lapsed
254,2024-05-19,316,Bronze,West,Email,1,1,0.008714991182761738,Warm
255,2023-08-05,604,Gold,South,Email,1,0,0.02094210965379207,Warm
256,2024-10-27,155,Gold,East,Email,1,0,0.010819693876832797,Warm
257,2023-07-21,619,Bronze,North,SMS,1,1,0.011342393370970068,Warm
258,2024-12-02,119,Bronze,East,Email,1,1,0.0053588071877432916,Lapsed
259,2024-09-30,182,Bronze,South,Email,1,0,0.0054754405165215875,Active
260,2023-10-07,541,Bronze,East,SMS,1,1,0.0147667818175677,Lapsed
261,2023-04-11,720,Gold,West,Email,1,1,0.022653905290167094,Warm
262,2024-10-04,178,Silver,North,Push,1,0,0.012635269875545483,Warm
263,2024-06-14,290,Bronze,North,SMS,0,1,0.012585370505318664,Warm
264,2022-12-18,834,Silver,West,Email,0,1,0.016663270277434878,Lapsed
265,2022-10-22,891,Bronze,North,Push,1,1,0.013841653962436144,Lapsed
266,2023-10-13,535,Bronze,East,Email,0,1,0.01190822077340755,Lapsed
267,2024-02-07,418,Bronze,West,Push,1,0,0.010064301222015584,Lapsed
268,2024-05-04,331,Bronze,East,Push,1,0,0.00848520364079305,Lapsed
269,2023-09-16,562,Silver,North,Email,1,1,0.015688083020944942,Lapsed
270,2023-10-04,544,Bronze,East,Email,1,1,0.008061057886482804,Lapsed
271,2024-06-18,286,Silver,West,SMS,1,1,0.013436157584022536,Lapsed
272,2025-02-10,49,Bronze,South,Email,1,1,0.010206784844464701,New
273,2024-10-21,161,Silver,East,Email,1,0,0.00981307152106697,Warm
274,2022-11-19,863,Bronze,South,Push,1,1,0.01053026149817669,Warm
275,2024-03-03,393,Silver,West,Email,1,0,0.010164190401240818,Warm
276,2024-01-07,449,Bronze,North,Email,1,0,0.011629843327904316,Lapsed
277,2024-01-20,436,Bronze,South,Email,1,1,0.01615994068923393,Lapsed
278,2023-04-21,710,Bronze,North,SMS,1,0,0.01225391099848707,Lapsed
279,2025-01-04,86,Silver,West,Push,1,1,0.012852955133463915,New
280,2024-12-20,101,Silver,East,Push,1,1,0.009862358105674273,Warm
281,2024-07-05,269,Bronze,North,Email,1,0,0.011067084989236371,Warm
282,2024-01-03,453,Silver,North,Email,0,0,0.014350812045013771,Lapsed
283,2023-07-27,613,Silver,West,Push,0,0,0.01611428604972102,Warm
284,2023-12-31,456,Silver,North,Push,1,0,0.012248755294475286,Lapsed
285,2024-02-12,413,Silver,East,Email,1,1,0.016638645337213542,Lapsed
286,2022-12-07,845,Bronze,East,Email,1,0,0.012327854455971761,Warm
287,2024-10-12,170,Silver,West,Email,1,1,0.01329413419947472,Lapsed
288,2023-10-21,527,Silver,East,Email,1,0,0.014533979471181449,Lapsed
289,2023-11-16,501,Silver,West,SMS,1,0,0.016655113806930397,Warm
290,2024-01-15,441,Bronze,North,Email,0,0,0.014320513212482913,Warm
291,2023-03-30,732,Silver,South,SMS,1,1,0.013116657079570656,Warm
292,2024-07-12,262,Bronze,North,Email,0,1,0.011326266510535275,Lapsed
293,2022-11-23,859,Silver,South,Email,1,1,0.01459563329209858,Warm
294,2024-05-17,318,Bronze,East,Email,1,0,0.012925386058853093,Lapsed
295,2023-11-13,504,Bronze,East,Email,1,1,0.009887940595693544,Warm
296,2023-12-05,482,Silver,West,SMS,1,1,0.014432609363247592,Warm
297,2023-02-21,769,Gold,West,Email,1,1,0.02261589093298413,Lapsed
298,2024-02-14,411,Bronze,South,Email,1,1,0.00973581539491937,Warm
299,2024-06-27,277,Silver,East,SMS,1,0,0.01383660614284457,Warm
300,2025-02-11,48,Silver,East,Email,1,1,0.011757543585641678,New
301,2024-04-19,346,Gold,West,Email,0,1,0.018724206928834062,Lapsed
302,2023-03-14,748,Silver,North,Email,1,0,0.012726066783888268,Lapsed
303,2025-02-21,38,Bronze,East,Push,1,1,0.008791187701586723,New
304,2023-01-12,809,Bronze,South,Push,1,1,0.009462595776716981,Lapsed
305,2023-11-15,502,Silver,South,Email,1,1,0.011633204743859725,Lapsed
306,2024-10-30,152,Bronze,East,SMS,1,1,0.01189137525282416,Lapsed
307,2024-06-12,292,Gold,South,SMS,1,1,0.018599197794574508,Warm
308,2023-11-05,512,Gold,North,Push,1,0,0.018851548608263633,Warm
309,2024-05-31,304,Gold,West,Push,0,0,0.012977612434860699,Warm
310,2024-11-27,124,Bronze,North,Email,1,1,0.008116708301699211,Lapsed
311,2023-07-31,609,Silver,South,Email,0,0,0.017968607382876936,Lapsed
312,2023-07-26,614,Silver,East,Push,1,1,0.013424609686125247,Lapsed
313,2024-11-18,133,Bronze,East,Email,1,0,0.007366037478635835,Lapsed
314,2024-06-30,274,Bronze,East,Email,1,1,0.007256360825960977,Lapsed
315,2024-08-01,242,Bronze,West,Email,1,1,0.010012396120837512,Warm
316,2023-08-06,603,Bronze,South,Email,1,1,0.010563303194190072,Lapsed
317,2023-06-05,665,Gold,North,Email,1,1,0.019685794947544452,Lapsed
318,2023-06-08,662,Gold,North,Email,1,0,0.01827551751670344,Lapsed
319,2022-12-06,846,Bronze,East,Email,1,0,0.01181533033296479,Warm
320,2023-05-03,698,Silver,South,Email,0,1,0.01633956066794234,Warm
321,2024-05-27,308,Bronze,West,SMS,1,0,0.008773302288459205,Warm
322,2024-11-28,123,Bronze,East,Email,1,1,0.009451028707190284,Lapsed
323,2023-09-14,564,Bronze,South,SMS,1,1,0.010637535098867328,Lapsed
324,2022-12-26,826,Silver,West,Email,1,1,0.019711420081590224,Warm
325,2022-11-04,878,Silver,West,SMS,1,1,0.01843124100570743,Lapsed
326,2024-08-13,230,Gold,East,Email,0,1,0.017065945247079155,Lapsed
327,2024-08-08,235,Gold,East,Email,1,1,0.0164369676911261,Lapsed
328,2025-01-28,62,Bronze,North,Email,1,0,0.008267480938600953,New
329,2024-10-30,152,Silver,East,Push,0,1,0.011439546631547306,Lapsed
330,2023-11-05,512,Bronze,North,Email,1,1,0.01170151474187347,Lapsed
331,2023-11-12,505,Bronze,East,Email,1,0,0.00778072508358229,Lapsed
332,2024-04-13,352,Silver,West,Email,1,0,0.017459323855333397,Warm
333,2024-06-05,299,Bronze,East,Email,1,0,0.00729491627525851,Lapsed
334,2023-03-11,751,Bronze,North,Email,1,1,0.014568001425610124,Warm
335,2024-01-26,430,Bronze,North,Email,1,1,0.00905149779656108,Lapsed
336,2023-03-29,733,Bronze,West,Email,1,1,0.010705621939611804,Lapsed
337,2022-11-15,867,Gold,North,Email,1,0,0.02145296079882045,Lapsed
338,2024-05-30,305,Bronze,East,SMS,1,0,0.009904615109075829,Active
339,2024-09-06,206,Silver,West,SMS,1,0,0.00923552853900261,Lapsed
340,2022-11-23,859,Platinum,North,Push,1,1,0.026359722309560945,Lapsed
341,2023-08-27,582,Silver,East,Email,1,1,0.014254856491516261,Lapsed
342,2024-06-21,283,Bronze,North,Email,1,0,0.011126026684564012,Warm
343,2023-09-07,571,Gold,East,Push,1,0,0.024092965309346247,Warm
344,2023-12-09,478,Bronze,North,Email,1,1,0.011642920088433189,Lapsed
345,2023-01-04,817,Bronze,South,Email,1,1,0.01120593489686814,Lapsed
346,2024-07-22,252,Silver,North,Email,1,0,0.010920943947896599,Lapsed
347,2022-10-21,892,Bronze,West,SMS,1,1,0.011635533136936684,Lapsed
348,2022-12-08,844,Gold,East,Push,1,0,0.017862412606001958,Warm
349,2024-09-25,187,Bronze,West,Email,1,0,0.008524725194297752,Lapsed
350,2024-10-09,173,Silver,East,Email,1,1,0.012336081993311376,Lapsed
351,2023-11-24,493,Silver,West,SMS,1,1,0.013117556679421641,Lapsed
352,2025-01-21,69,Platinum,East,Email,1,1,0.014165066508507232,New
353,2024-06-15,289,Bronze,South,SMS,1,1,0.010360577318858182,Lapsed
354,2024-02-17,408,Bronze,East,Email,0,0,0.010062225520981995,Lapsed
355,2022-11-09,873,Gold,South,Email,1,1,0.01874027506222877,Lapsed
356,2022-10-20,893,Silver,West,SMS,1,0,0.01839524031067005,Warm
357,2024-10-21,161,Bronze,West,Push,1,0,0.006319870389433266,Warm
358,2023-01-16,805,Bronze,North,SMS,1,0,0.009200628670385597,Warm
